description,stimFile,valence_rank,valence_range,valence_mean,valence_7-9_mean,valence_7-9_SD,valence_10-12_mean,valence_10-12_SD,arousal_mean,arousal_7-9_mean,arousal_7-9_SD,arousal_10-12_mean,arousal_10-12_SD,dominance_mean,dominance_7-9_mean,dominance_7-9_SD,dominance_10-12_mean,dominance_10-12_SD
3 puppies,1710,high,7to9,8.845,8.69,0.86,9,0,5.825,5.61,3.55,6.04,3.48,7.645,7.17,2.36,8.12,1.79
Dolphins,1920,high,7to9,8.75,8.64,1.22,8.86,0.53,6.555,6.25,3.21,6.86,3.04,7.235,6.83,2.22,7.64,2.41
Roller Coaster,8490,high,7to9,8.66,8.53,1.06,8.79,0.83,7.625,7.5,2.52,7.75,2.19,7.185,6.69,2.82,7.68,2.18
Ice Cream,7330,high,7to9,8.605,8.39,1.73,8.82,0.77,6.335,6.42,3.07,6.25,3.26,7.87,7.28,2.5,8.46,1.29
2 Bunnies,1750,high,7to9,8.55,8.67,0.79,8.43,1.53,5.41,5.36,3.34,5.46,3.33,7.575,7.22,2.32,7.93,1.76
Fireworks,5480,high,7to9,8.405,8.56,1.08,8.25,1.27,6.195,6.53,3.08,5.86,3.29,7.085,7.42,2.08,6.75,3.03
Boy/Ice-cream,2650,high,7to9,8.4,8.44,1.28,8.36,1.25,6.09,6.22,3.13,5.96,3.6,7.44,7.17,2.38,7.71,2.02
M&M,7410,high,7to9,8.39,8.67,1.1,8.11,1.85,5.41,5.47,3.41,5.35,3.26,7.665,7.72,1.75,7.61,2.3
Candy,7400,high,7to9,8.375,8.5,1.25,8.25,1.81,6.365,5.94,3.31,6.79,2.97,7.45,7.22,2.28,7.68,2.36
Snickers,7430,high,7to9,8.36,8.36,1.53,8.36,1.42,6.105,6.46,3.06,5.75,3.45,7.215,7.11,2.43,7.32,1.98
Baby,2070,high,7to9,8.195,8.51,1.15,7.88,1.65,5.765,5.71,3.21,5.82,3.09,6.805,6.26,2.88,7.35,2.03
Popsicles,7390,high,7to9,8.145,8.11,1.8,8.18,1.56,5.56,5.33,3.27,5.79,3.36,7.25,6.75,2.49,7.75,1.74
Sea,5825,high,7to9,8.03,8.03,1.18,8.03,1.18,5.46,5.46,2.72,5.46,2.72,6.61,6.61,2.11,6.61,2.11
Sports Car,8510,high,7to9,8.025,8.19,1.69,7.86,2.12,6.965,7.11,2.87,6.82,2.68,7.445,7.5,2.44,7.39,2.17
B-day Cake,7250,high,7to9,7.985,8.18,1.47,7.79,1.73,5.5,6,3.07,5,3.3,7.11,7.18,2.38,7.04,2.49
Baby/Sink,2660,high,7to9,7.93,8,1.53,7.86,1.82,4.7,4.97,3.05,4.43,2.95,6.69,6.42,2.59,6.96,2.32
Fireworks,5910,high,7to9,7.84,7.47,2.13,8.21,1.91,6.395,6.4,3.12,6.39,3.14,6.685,6.37,2.5,7,2.88
Children,2347,high,7to9,7.83,7.83,1.36,7.83,1.36,5.56,5.56,2.34,5.56,2.34,6.54,6.54,1.86,6.54,1.86
Space Shuttle,5450,high,7to9,7.82,7.89,1.94,7.75,1.8,6.535,6.64,3.19,6.43,2.73,6.125,5.89,3.14,6.36,3.02
Fawn,1630,high,7to9,7.26,7.26,1.48,7.26,1.48,4.45,4.45,2.45,4.45,2.45,6.12,6.12,1.85,6.12,1.85
Flowers,5030,high,7to9,7.09,7.64,1.71,6.54,1.58,3.125,3.39,2.69,2.86,2.31,6.805,6.47,2.49,7.14,2.12
WaterSkier,8200,medium,4to6,6.62,6.62,1.42,6.62,1.42,4.17,4.17,1.93,4.17,1.93,5.86,5.86,1.79,5.86,1.79
Flowers,5020,medium,4to6,6.41,6.43,2.24,6.39,1.85,2.71,3.31,2.72,2.11,2.03,6.55,6.39,2.46,6.71,2.83
Skyscraper,7510,medium,4to6,6.355,6.53,2.15,6.18,2.5,4.77,5.11,2.87,4.43,2.77,5.465,5.72,2.75,5.21,3.24
Clowns,2092,medium,4to6,6.28,6.28,1.9,6.28,1.9,4.32,4.32,2.29,4.32,2.29,5.75,5.75,2.38,5.75,2.38
Grain,5726,medium,4to6,6.23,6.23,1.6,6.23,1.6,2.84,2.84,2.04,2.84,2.04,6.15,6.15,1.83,6.15,1.83
Girl Reading,2320,medium,4to6,6.19,6.31,2.04,6.07,2.05,2.52,2.75,2.67,2.29,2.24,6.065,6.31,2.77,5.82,2.87
